loc,nd,con,fv,pd,ma,a65,gdp,cda,hb,le
Ethiopia,0.00070328,1,1.07,1.04957,19.8,3.526,1.729927,1.82634,0.3,66.6
Kenya,0.000278254,1,2.97,0.87324,20,2.686,2.993028,2.18637,1.4,66.7
Malawi,9.67E-05,1,2.83,1.97519,18.1,2.979,1.095042,2.27349,1.3,64.26
Zambia,6.34E-05,1,2.83,0.22995,17.7,2.48,3.689251,2.34499,2,63.89
Zimbabwe,0.000357801,1,17.2,0.42729,19.6,2.822,1.899775,3.07846,1.7,61.49
Azerbaijan,0.005193995,2,43.06,1.19309,32.4,6.018,15.847419,5.59812,4.7,73
Bahrain,0.000228794,2,65.29,19.35907,32.4,2.372,43.290705,1.51689,2,77.29
Bangladesh,0.000202642,2,17.27,12.65036,27.5,5.098,3.523984,2.98003,0.8,72.59
Cambodia,0.002667226,2,77.1,0.90672,25.6,4.412,3.64507,2.70892,0.8,69.82
India,0.000707904,2,23.62,4.50419,28.2,5.989,6.426674,2.8228,0.53,69.66
Indonesia,0.000498984,2,26.67,1.45725,29.3,5.319,11.188744,3.42864,1.04,71.72
Israel,0.003594877,2,61.73,4.02606,30.6,11.733,33.13232,0.9332,2.99,82.97
Jordan,0.003028526,2,34.34,1.09285,23.2,3.81,8.33749,2.08257,1.4,74.53
Kazakhstan,0.006164794,2,39.44,0.06681,30.6,6.991,24.055588,4.66792,6.7,73.6
Kyrgyzstan,0.00096555,2,11.38,0.32333,26.3,4.489,3.393474,4.36362,4.5,71.45
Malaysia,0.007493243,2,74.37,0.96254,29.9,6.293,26.808164,2.60942,1.9,76.16
Mongolia,0.013516428,2,64.27,0.0198,28.6,4.031,11.840846,4.60043,7,69.87
Saudi Arabia,0.000220709,2,60.87,0.15322,31.9,3.295,49.045411,2.59538,2.7,75.13
South Korea,0.000689989,2,75.46,5.27967,43.4,13.914,35.938374,0.85998,12.27,83.03
Turkey,0.007463306,2,57.21,1.04914,31.6,8.153,25.129341,1.71285,2.81,77.69
United Arab Emirates,0.000360321,2,86.82,1.12442,34,1.144,67.293483,3.1784,1.2,77.97
Vietnam,0.002695357,2,25.06,3.08127,32.6,7.15,6.171884,2.45465,2.6,75.4
Austria,0.003792959,3,62.29,1.06749,44.4,19.202,45.436686,1.45183,7.37,81.54
Belgium,0.00328395,3,73.81,3.75564,41.8,18.571,42.658576,1.14898,5.64,81.63
Bulgaria,0.043934342,3,21.91,0.6518,44.7,20.801,18.563307,4.24688,7.454,75.05
Czechia,0.002592183,3,56.84,1.37176,43.3,19.027,32.605906,2.27485,6.63,79.38
Denmark,0.000946106,3,75.88,1.3652,42.3,19.677,46.682515,1.14767,2.5,80.9
Estonia,0.013130212,3,57.41,0.31033,42.7,19.452,29.481252,2.55569,4.69,78.74
Finland,0.001441867,3,69.99,0.18136,42.8,21.228,40.585721,1.53507,3.28,81.91
France,0.001613279,3,68,1.22578,42,19.718,38.605671,0.8606,5.98,82.66
Germany,0.00232895,3,66.16,2.37016,46.6,21.453,45.229245,1.56139,8,81.33
Greece,0.010394622,3,61.46,0.83479,45.3,20.396,24.574382,1.75695,4.21,82.24
Italy,0.001866899,3,71.45,2.05859,47.9,23.021,35.220084,1.13151,3.18,83.51
Latvia,0.028495919,3,54.37,0.31212,43.9,19.754,25.063846,3.5006,5.57,75.29
Lithuania,0.031934724,3,64.12,0.45135,43.5,19.002,29.524265,3.42989,6.56,75.93
Moldova,0.024527681,3,21.7,1.23655,37.6,10.864,5.189972,4.08502,5.8,71.9
Montenegro,0.027863979,3,38.74,0.4628,39.1,14.762,16.409288,3.87305,3.861,76.88
Norway,0.00071355,3,68.51,0.14462,39.7,16.821,64.800057,1.14316,3.6,82.4
Poland,0.003526735,3,52.82,1.24027,41.8,16.763,27.216445,2.27331,6.62,78.73
Romania,0.055108352,3,32.92,0.85129,43,17.85,23.313199,3.70946,6.892,76.05
Russia,0.020402705,3,32.62,0.08823,39.6,14.178,24.765954,4.31297,8.05,72.58
Slovakia,0.00318639,3,42.28,1.13128,41.2,15.07,30.155152,2.87959,5.82,78.74
Slovenia,0.003848517,3,53.81,1.02619,44.5,19.062,31.40084,1.53493,4.5,81.91
Switzerland,0.012506463,3,63.48,2.14243,43.1,18.436,57.410166,0.99739,4.53,82.66
Ukraine,0.004495383,3,17.19,0.7739,41.4,16.462,7.894393,5.39849,8.8,81.33
United Kingdom,0.00158048,3,67.02,2.72898,40.8,18.517,39.753244,1.22137,2.54,82.24
Barbados,0.391716602,4,44.11,6.64463,39.8,14.952,16.978068,1.7005,5.8,83.51
Canada,0.001397502,4,74.27,0.04037,41.4,16.984,44.017591,1.05599,2.5,75.29
Dominican Republic,0.007842089,4,48.62,2.22873,27.6,6.981,14.600861,2.66653,1.6,75.93
Guatemala,0.005408258,4,17.89,1.57834,22.9,4.694,7.423808,1.55898,0.6,71.9
Haiti,0.001516243,4,0.34,3.98448,24.3,4.8,1.653173,4.30548,0.7,76.88
Trinidad and Tobago,0.002779017,4,42.88,2.66886,36.2,10.014,28.763071,2.28467,3,82.4
United States,0.000400402,4,57.08,0.35608,38.3,15.413,54.225446,1.51089,2.77,78.73
Australia,0.040875257,5,64.1,0.03202,37.9,15.504,44.64871,1.07791,3.84,76.05
New Zealand,0.581150197,5,61.71,0.18206,37.9,15.322,36.085843,1.28797,2.61,72.58
Argentina,0.00084419,6,56.91,0.16177,31.9,11.198,18.933907,1.91032,5,77.54
Chile,0.000936897,6,78.75,0.24282,35.4,11.087,22.767037,1.27993,2.11,81.32
Colombia,0.000275037,6,41.74,0.44223,32.2,7.646,13.254949,1.2424,1.71,83.78
Ecuador,0.066573594,6,57.66,0.66939,28.1,7.104,10.581936,1.40448,1.5,72.06
Peru,0.01164289,6,46.96,0.25129,29.1,7.151,12.236706,0.85755,1.6,81.32
Suriname,0.012673243,6,34.01,0.03612,29.6,6.933,13.767119,2.58314,3.1,79.19
Uruguay,0.030070424,6,75.18,0.19751,35.6,14.655,20.551409,1.60708,2.8,82.43
